Organisatie_Codes;Proces_Instantie_Codes;Project_Code;Meetobject_Code;Geografie_Datum;Geografie_Notatie;Geografie_Vorm;Ecotoop_Codes;Collectie_DatumTijd;Collectie_Referentie;Meetset_Nummer;Meetpakket_Code;Doelstelling_Code;Verrichting_Methoden;Compartiment_Code;Meting_DatumTijd;Meting_Correlatie;Grootheid_Code;Parameter_Type;Parameter_Specificatie;Parameter_Kenmerken;Notitie_Code;Limiet_Symbool;Waarde_Gemeten;Eenheid_Gemeten;Waarde_Berekend;Classificatie_Code;Eenheid_Berekend;Status_Code
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0671;EPSG:28992;WKT;POINT(71600 411100);;	22-07-1992 00:00;1992RWSWOP00611;8563959;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	4;DIMSLS;	4;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0672;EPSG:28992;WKT;POINT(71600 411001);;	22-07-1992 00:00;1992RWSWOP00612;8563965;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	6;DIMSLS;	6;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0673;EPSG:28992;WKT;POINT(71600 410900);;	22-07-1992 00:00;1992RWSWOP00613;8563973;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	6;DIMSLS;	6;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0674;EPSG:28992;WKT;POINT(71600 410800);;	22-07-1992 00:00;1992RWSWOP00614;8563982;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	6;DIMSLS;	6;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0675;EPSG:28992;WKT;POINT(71600 410700);;	22-07-1992 00:00;1992RWSWOP00615;8563991;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	6;DIMSLS;	6;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0676;EPSG:28992;WKT;POINT(71600 410600);;	22-07-1992 00:00;1992RWSWOP00616;8564001;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	5;DIMSLS;	5;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0677;EPSG:28992;WKT;POINT(71600 410500);;	22-07-1992 00:00;1992RWSWOP00617;8564008;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	3;DIMSLS;	3;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0678;EPSG:28992;WKT;POINT(71600 410400);;	22-07-1992 00:00;1992RWSWOP00618;8564018;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	1;DIMSLS;	1;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0679;EPSG:28992;WKT;POINT(71600 410299);;	22-07-1992 00:00;1992RWSWOP00619;8564023;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	1;DIMSLS;	1;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0682;EPSG:28992;WKT;POINT(71700 411100);;	22-07-1992 00:00;1992RWSWOP00621;8564037;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	7;DIMSLS;	7;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0683;EPSG:28992;WKT;POINT(71700 411000);;	22-07-1992 00:00;1992RWSWOP00622;8564044;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	7;DIMSLS;	7;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0684;EPSG:28992;WKT;POINT(71700 410900);;	22-07-1992 00:00;1992RWSWOP00623;8564051;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	4;DIMSLS;	4;;DIMSLS;65
ORG=RWS,SUP=ECS;ANA=RWS,CHK=RWS,SMP=RWS;MWTL_WOP;	VOLKRZMR_0685;EPSG:28992;WKT;POINT(71700 410800);;	22-07-1992 00:00;1992RWSWOP00624;8564059;MA.BD;MT;OM=WOP_001;OW;	22-07-1992 00:00:00;;BEDKG;MACAG;Enteromorpha;ST=KLA;;;	5;DIMSLS;	5;;DIMSLS;65
