;organisation_supplier;Proces_Instantie_Codes;projects;Meetobject_Code;locationgeography.srid;Geografie_Notatie;locationgeography.coordinates;Ecotoop_Codes;collectiondate;externalreference;measurementsetnumber;measurementpackage;measurementpurpose;analysiscontext_samplingcontext;compartment;measurementdate;Meting_Correlatie;quantity;taxontype;parameter;Parameter_Kenmerken;Notitie_Code;limitsymbol;measuredvalue;measuredunit;calculatedvalue;samplingdevices;calculatedunit;status
0;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Achnanthes vistulana;LV=LV-CEL;;;10;n;2.8;;%;65
1;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Amphora [2];LV=LV-CEL;;;6;n;1.7;;%;65
2;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Amphora helenensis;LV=LV-CEL;;;23;n;6.4;;%;65
3;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Astartiella bremeyeri;LV=LV-CEL;;;1;n;0.3;;%;65
4;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Bacillariaceae;LV=LV-CEL;;>;0;n;0.0;;%;65
5;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Bacillariophycidae;LV=LV-CEL;Dc012;;2;n;0.6;;%;65
6;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Berkeleya rutilans;LV=LV-CEL;;;7;n;1.9;;%;65
7;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Cocconeis californica;LV=LV-CEL;;;9;n;2.5;;%;65
8;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Cocconeis placentula;LV=LV-CEL;;;2;n;0.6;;%;65
9;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Cocconeis stauroneiformis;LV=LV-CEL;;;29;n;8.1;;%;65
10;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Fallacia aequorea;LV=LV-CEL;;;2;n;0.6;;%;65
11;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Fragilaria investiens;LV=LV-CEL;;;3;n;0.8;;%;65
12;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Fragilaria striatula;LV=LV-CEL;;>;0;n;0.0;;%;65
13;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Fragilariaceae;LV=LV-CEL;;;18;n;5.0;;%;65
14;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Grammatophora marina;LV=LV-CEL;;>;0;n;0.0;;%;65
15;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Grammatophora oceanica;LV=LV-CEL;;;2;n;0.6;;%;65
16;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Hyalodiscus scoticus;LV=LV-CEL;;;9;n;2.5;;%;65
17;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Khakista;LV=LV-CEL;;;6;n;1.7;;%;65
18;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Licmophora abbreviata;LV=LV-CEL;;>;0;n;0.0;;%;65
19;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Martyana martyi;LV=LV-CEL;;;9;n;2.5;;%;65
20;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Navicula [2];LV=LV-CEL;;;3;n;0.8;;%;65
21;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Navicula flagellifera;LV=LV-CEL;;;12;n;3.3;;%;65
22;ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;	GREVM_0001;EPSG:4258;WKT;POINT(3.91284 51.7939);;	10-05-2005 00:00;2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;	10-05-2005 13:55:00;;AANTFTE;DIATM;Navicula gregaria;LV=LV-CEL;;;2;n;0.6;;%;65
