Organization_Codes;Process_Instance_Codes;Project_Code;Meetobject_Code;Geography_Datum;Geography_ Notation;Geography_Shape;Ecotope_Codes;Collection_DateTime;Collection_Reference;MeasurementSet_Number;MeasurementPackage_Code;Objective_Code;Operation_Methods;Compartment_Code;Measure_DateTime;Measurement_Correlation;Quantity_Code;Parameter_Type;Parameter_Specification;Parameter_Attributes;Note_Code;Limit_Symbol;Value_Measured;Unit_Measured;Value_Calculated;Classification_Code;Unit_Calculated;Status_Code
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Achnanthes vistulana;LV=LV-CEL;;;"	10";n;"	2.800";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Amphora [2];LV=LV-CEL;;;"	6";n;"	1.700";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Amphora helenensis;LV=LV-CEL;;;"	23";n;"	6.400";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Astartiella bremeyeri;LV=LV-CEL;;;"	1";n;"	0.300";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Bacillariaceae;LV=LV-CEL;;>;"	0";n;"	0.000";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Bacillariophycidae;LV=LV-CEL;Dc012;;"	2";n;"	0.600";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Berkeleya rutilans;LV=LV-CEL;;;"	7";n;"	1.900";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Cocconeis californica;LV=LV-CEL;;;"	9";n;"	2.500";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Cocconeis placentula;LV=LV-CEL;;;"	2";n;"	0.600";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Cocconeis stauroneiformis;LV=LV-CEL;;;"	29";n;"	8.100";;%;65
ORG=RWS,SUP=RWS;CHK=FKO,ANA=RWSLAB,SMP=RWSLAB;MWTL_FYTOB;"	GREVM_0001";EPSG:4258;WKT;POINT(3.91284 51.7939);;"	10-05-2005 00:00";2005300196;11;DT.AB;MT;MM=DIATM_S002,AM=DIATM_A004;OW;"	10-05-2005 13:55:00";;AANTFTE;DIATM;Fallacia aequorea;LV=LV-CEL;;;"	2";n;"	0.600";;%;65
